z_um,fw_amp,sh_amp,th_amp
0.000000000000000000e+00,3.162277660168379523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.964621697669537537e-01,3.162277660168379523e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.931265420711648417e-01,3.161718945430508576e+00,5.944162230573895450e-02,6.036106484230026450e-05
1.189610117458481886e+00,3.160050202774732586e+00,1.186689870115081313e-01,6.224668952683749638e-04
1.585931262301434330e+00,3.157293054995954140e+00,1.774705554322948686e-01,2.183306865686760866e-03
1.982189482285564575e+00,3.153486833813454737e+00,2.355676563081951502e-01,5.354275548826282517e-03
2.378416978451117991e+00,3.148674681797420494e+00,2.928132832659807172e-01,1.039852638128275185e-02
2.774628062292965325e+00,3.142897279232149454e+00,3.491244850258323207e-01,1.757231204455047061e-02
3.172318085140039212e+00,3.136183444724628622e+00,4.045216155507826983e-01,2.675188941622140201e-02
3.568557196665592457e+00,3.128553314304479915e+00,4.590394078441277226e-01,3.790754015443599523e-02
3.964763018707349485e+00,3.120029929462462714e+00,5.126571236699337675e-01,5.095010116694941027e-02
4.360949466781894657e+00,3.110632379026880834e+00,5.653599328394690593e-01,6.583577210993538098e-02
4.757121619345367591e+00,3.100376981957986722e+00,6.171366932197579480e-01,8.249164580038964578e-02
5.153279801519745185e+00,3.089277996265116233e+00,6.679746651656929268e-01,1.008529052083350780e-01
5.551269134697878194e+00,3.077366367423962856e+00,7.177852051654942667e-01,1.208331076045331132e-01
5.947437203259765326e+00,3.064652765436768345e+00,7.665715397989709690e-01,1.423780238344462545e-01
6.343597610586026114e+00,3.051159811544863931e+00,8.142851675179696436e-01,1.654190749996606868e-01
6.739750902789720222e+00,3.036894015689262094e+00,8.609369707997824861e-01,1.899006839925607704e-01
7.135896733547741455e+00,3.021863945777427229e+00,9.065242199657417288e-01,2.157594304450553002e-01
7.532033824195020877e+00,3.006102533709886782e+00,9.509656803976019868e-01,2.429235096258065829e-01
7.928163169134005983e+00,2.989631544885820613e+00,9.942262527562123475e-01,2.713252368541476667e-01
8.326294460196615788e+00,2.972480015686996602e+00,1.036254514718462083e+00,3.008972201051943740e-01
8.722431355665086983e+00,2.954646937260974493e+00,1.077087272103668170e+00,3.315787755671611436e-01
9.118565537282448119e+00,2.936160475733712083e+00,1.116678312228393644e+00,3.633059423377539843e-01
9.514695791536510683e+00,2.917012346839897852e+00,1.155078664016904177e+00,3.960205150197561585e-01
9.910822250935868993e+00,2.897261560689692317e+00,1.192172333420965069e+00,4.296516919267713286e-01
1.030694238699027032e+01,2.876909111763612970e+00,1.227995283041854124e+00,4.641352685138725453e-01
1.070513979929051729e+01,2.855999978299583297e+00,1.262480456886213354e+00,4.994068681277314403e-01
1.110126303075564280e+01,2.834525851873318292e+00,1.295685460914576703e+00,5.354086116569396481e-01
1.149738585517303058e+01,2.812523691209519505e+00,1.327568492676522549e+00,5.720772532077779138e-01
1.189350628052802783e+01,2.789994445426575265e+00,1.358167745580912023e+00,6.093532385673460228e-01
1.224555810980160686e+01,2.766983938455395808e+00,1.387431334253786286e+00,6.471739928802902053e-01
1.246681935867059643e+01,2.748821372645802619e+00,1.405793538037329649e+00,6.839046641880258681e-01
1.268808569024755428e+01,2.745918443887442884e+00,1.395319826684256137e+00,7.162502919933648737e-01
1.290936403842807145e+01,2.742890867267574251e+00,1.384397686920328718e+00,7.483266230128227114e-01
1.313065500576155564e+01,2.739734052429686706e+00,1.373048332194697796e+00,7.801253741640278294e-01
1.335195549382984659e+01,2.736452958391137447e+00,1.361277373446272421e+00,8.116336113392589313e-01
1.357326014995386210e+01,2.733062942783038185e+00,1.349071446505463623e+00,8.428363916026467839e-01
1.379456280421813297e+01,2.729590009546563945e+00,1.336394914473781226e+00,8.737202139999973305e-01
1.401585882263741745e+01,2.726064892268888151e+00,1.323200273579420383e+00,9.042738739664916148e-01
1.423714564084444234e+01,2.722510802865377499e+00,1.309454824772132486e+00,9.344854146332689515e-01
1.445842361674750443e+01,2.718935002290967962e+00,1.295159823069187865e+00,9.643409594248352201e-01
1.467969638742780525e+01,2.715329868445432560e+00,1.280348219957008871e+00,9.938270177355043034e-01
1.490096883625140300e+01,2.711679184384320873e+00,1.265071224743780975e+00,1.022932450019094164e+00
1.512224543731312210e+01,2.707966394525564979e+00,1.249380965538030352e+00,1.051648805006447862e+00
1.534352870071187525e+01,2.704180966507827577e+00,1.233317340936289197e+00,1.079969275916056404e+00
1.556481794088405657e+01,2.700320605911810556e+00,1.216904784291413799e+00,1.107885991994101982e+00
1.578611109754296393e+01,2.696392898748848577e+00,1.200147955420279189e+00,1.135389898086697436e+00
1.600740505268527514e+01,2.692416200425052253e+00,1.183027306366002174e+00,1.162472105506684894e+00
1.622869680955550820e+01,2.688415956466673862e+00,1.165506300101369019e+00,1.189123504703956113e+00
1.644998522812743857e+01,2.684417590679448296e+00,1.147546801239918146e+00,1.215334743111872395e+00
1.667127045311873701e+01,2.680439378517961213e+00,1.129125406155230271e+00,1.241096513275682822e+00
1.689255283264625618e+01,2.676487323865803791e+00,1.110247090632647149e+00,1.266399227308449893e+00
1.711383621837703473e+01,2.672556211512372215e+00,1.090943737704227923e+00,1.291233928252581542e+00
1.733512017472901690e+01,2.668634230109943939e+00,1.071263278545687037e+00,1.315593529143816554e+00
1.750199502484009884e+01,2.664708746125291849e+00,1.051258784752224118e+00,1.339470890241620582e+00
1.750199502484009884e+01,2.661422951606948306e+00,1.038185087081622715e+00,1.356097193279711233e+00
