z_um,width_um
4.038969054499515904e-03,4.038969054499515904e-03
8.004444475775761986e-03,3.965475421276246949e-03
1.190060235142149231e-02,3.896157875645729889e-03
1.589224939824437563e-02,3.991647046822883321e-03
1.991518448859357429e-02,4.022935090349197794e-03
2.382078067008317965e-02,3.905596181489606657e-03
2.775482740159530143e-02,3.934046731512120046e-03
3.179985571147118245e-02,4.045028309875880156e-03
3.574623492464822777e-02,3.946379213177047054e-03
3.964664160669555126e-02,3.900406682047322191e-03
4.365734460055312877e-02,4.010702993857579238e-03
4.766311976617046420e-02,4.005775165617338034e-03
5.156214305068603648e-02,3.899023284515574454e-03
5.551346349080605452e-02,3.951320440120018908e-03
5.955772738553988949e-02,4.044263894733832361e-03
6.348769135293842736e-02,3.929963967398537004e-03
6.739577110920501324e-02,3.908079756266588482e-03
7.142290479246893309e-02,4.027133683263920717e-03
7.540918611852912012e-02,3.986281326060185301e-03
7.930509100037445858e-02,3.895904881845338886e-03
8.327564604453892294e-02,3.970555044164461762e-03
8.731254319585084189e-02,4.036897151311920687e-03
9.122894574606367490e-02,3.916402550212837348e-03
9.514798791862651151e-02,3.919042172562830530e-03
9.918693202421750843e-02,4.038944105590996057e-03
1.031531693139876027e-01,3.966237289770090796e-03
1.070493866590776499e-01,3.896217345090048547e-03
1.110399062658277841e-01,3.990519606750129837e-03
1.150637614446213264e-01,4.023855178793541397e-03
1.189698596230069350e-01,3.906098178385612914e-03
1.229031010440666538e-01,3.933241421059724928e-03
1.269480432556276961e-01,4.044942211561043145e-03
1.308953892891127346e-01,3.947346033485045480e-03
1.347955161919440203e-01,3.900126902831293086e-03
1.388052601112748641e-01,4.009743919330848935e-03
1.428119978140230673e-01,4.006737702748199709e-03
1.467112629206658303e-01,3.899265106642773020e-03
1.506615688767548589e-01,3.950305956089026835e-03
1.547059869204193694e-01,4.044418043664508786e-03
1.586367032369233598e-01,3.930716316503988714e-03
1.625442438643137644e-01,3.907540627390409735e-03
1.665705486852442629e-01,4.026304820930502043e-03
1.705578238289179871e-01,3.987275143673737164e-03
1.744537616133015334e-01,3.895937784383540249e-03
1.784232234764855929e-01,3.969461863184060336e-03
1.824606091018532439e-01,4.037385625367663142e-03
1.863776099459687197e-01,3.917000844115485318e-03
