z_um,fw_amp,sh_amp,th_amp
0.000000000000000000e+00,3.162277660168379523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.964520215988159291e-01,3.162277660168379523e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.929040431976318581e-01,3.161718552575586205e+00,5.946254524948223902e-02,3.434242614575870892e-06
1.189356064796447843e+00,3.160042217977964807e+00,1.188830536310944985e-01,1.250009058468993683e-05
1.585808086395263716e+00,3.157251616768929736e+00,1.782196055889263275e-01,2.436610878734209729e-05
1.982260107994079590e+00,3.153351668853476841e+00,2.374305188675604750e-01,3.534512108323556846e-05
2.378712129592895685e+00,3.148349232517493324e+00,2.964744648532574578e-01,4.238503543639293025e-05
2.775164151191711337e+00,3.142253075070094770e+00,3.553105827453977295e-01,4.473999800575626965e-05
3.171616172790527433e+00,3.135073835508446649e+00,4.138985912536642386e-01,4.548182178531496857e-05
3.568068194389343084e+00,3.126823979516079266e+00,4.721988972650381644e-01,5.044711973421957550e-05
3.964520215988159180e+00,3.117517747142285689e+00,5.301727006022712851e-01,6.155467752317786108e-05
4.360972237586975275e+00,3.107171093542127505e+00,5.877820939283386892e-01,7.425251597522820781e-05
4.757424259185791371e+00,3.095801623208386033e+00,6.449901571358932495e-01,8.329546548422629964e-05
5.153876280784606578e+00,3.083428518199163637e+00,7.017610459757810393e-01,8.664345592457084640e-05
5.550328302383422674e+00,3.070072460929475611e+00,7.580600748887780238e-01,8.661439064909459641e-05
5.946780323982238770e+00,3.055755552121281138e+00,8.138537938672358862e-01,8.881368799663838401e-05
6.343232345581054865e+00,3.040501224493017407e+00,8.691100588668264626e-01,9.712347587001045508e-05
6.739684367179870961e+00,3.024334152751245064e+00,9.237980951467527069e-01,1.091130114964427244e-04
7.136136388778686168e+00,3.007280160461104579e+00,9.778885531214220883e-01,1.190425576893113196e-04
7.532588410377502264e+00,2.989366124421390492e+00,1.031353556722129694e+00,1.232820086761135688e-04
7.929040431976318359e+00,2.970619877214482507e+00,1.084166744566849028e+00,1.227743202484401532e-04
8.325492453575133567e+00,2.951070108595204022e+00,1.136303304201175202e+00,1.225454303960360036e-04
8.721944475173950551e+00,2.930746266319706805e+00,1.187739999391268286e+00,1.276680393132884083e-04
9.118396496772765758e+00,2.909678456940184343e+00,1.238455190230069114e+00,1.378781844707859471e-04
9.514848518371582742e+00,2.887897347059324993e+00,1.288428845907627851e+00,1.479217715355305004e-04
9.911300539970397949e+00,2.865434065563611465e+00,1.337642550353941973e+00,1.529385332042654407e-04
1.030775256156921316e+01,2.842320107391302031e+00,1.386079501300224726e+00,1.522971380103792433e-04
1.070420458316803014e+01,2.818587239375036191e+00,1.433724503352738155e+00,1.500605171582601550e-04
1.110065660476684535e+01,2.794267408609236281e+00,1.480563955426015488e+00,1.519128099427816852e-04
1.149710862636566233e+01,2.769392653675163629e+00,1.526585832598429615e+00,1.596239460954713204e-04
1.189356064796447754e+01,2.743995018986009171e+00,1.571779662416352696e+00,1.690985512910854135e-04
1.224551806416358701e+01,2.718106472523652339e+00,1.616136495934126893e+00,1.747421133636622363e-04
1.246680306416357631e+01,2.698488262643100377e+00,1.648659198404300641e+00,9.162090063370894807e-03
1.268808806416356560e+01,2.698437681352999551e+00,1.648114901573895841e+00,4.638265909076357690e-02
1.290937306416355312e+01,2.698179788109566157e+00,1.647069990642782367e+00,8.358395157573809964e-02
1.313065806416354242e+01,2.697701863373302089e+00,1.645546658423101105e+00,1.207511958731477958e-01
1.335194306416353172e+01,2.697007489625500298e+00,1.643541149171643401e+00,1.578704908572963195e-01
1.357322806416352101e+01,2.696115568095148074e+00,1.641025291034597267e+00,1.949277754959667375e-01
1.379451306416351031e+01,2.695054430221866415e+00,1.637956058879635135e+00,2.319085322298339580e-01
1.401579806416349783e+01,2.693852976488796624e+00,1.634290043420518979e+00,2.687976842143871004e-01
1.423708306416348712e+01,2.692531741618662711e+00,1.629998117981147576e+00,3.055797044207944069e-01
1.445836806416347642e+01,2.691096800070486239e+00,1.625075550800476609e+00,3.422389031669760828e-01
1.467965306416346571e+01,2.689538484514083727e+00,1.619544303335447522e+00,3.787598049574547598e-01
1.490093806416345501e+01,2.687835304478485732e+00,1.613446787875666866e+00,4.151274969124034708e-01
1.512222306416344253e+01,2.685961749013940913e+00,1.606833116274035023e+00,4.513278401329355316e-01
1.534350806416343183e+01,2.683897398997467043e+00,1.599745975447631752e+00,4.873474794166375856e-01
1.556479306416342112e+01,2.681634371272248352e+00,1.592208035684266276e+00,5.231736517770713135e-01
1.578607806416341042e+01,2.679180690101353957e+00,1.584215974074246525e+00,5.587938593757350025e-01
1.600736306416339971e+01,2.676558531831321641e+00,1.575743035416890425e+00,5.941955166577228553e-01
1.622864806416338723e+01,2.673797967176432255e+00,1.566749264796413632e+00,6.293656901858327712e-01
1.644993306416337475e+01,2.670928282853824776e+00,1.557196053436766148e+00,6.642910198192480964e-01
1.667121806416336227e+01,2.667969728226332826e+00,1.547060261195639219e+00,6.989578510162135494e-01
1.689250306416335334e+01,2.664928359917979606e+00,1.536343350191431423e+00,7.333525392520632291e-01
1.711378806416334086e+01,2.661795613191648702e+00,1.525072605225053168e+00,7.674618312240534257e-01
1.733507306416333194e+01,2.658552665534740900e+00,1.513294082569491605e+00,8.012732019968556996e-01
1.749731396416332529e+01,2.655178096386032749e+00,1.501059594958831456e+00,8.347750408666322341e-01
1.749731396416332529e+01,2.652605050093147732e+00,1.491896146103655729e+00,8.590298815881797223e-01
