z_um,fw_amp,sh_amp,th_amp
0.000000000000000000e+00,3.162277660168379523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.964520215988158805e-03,3.162277660168379523e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.929040431976317610e-03,3.162277604252678564e+00,5.946780160417346325e-04,5.701755809458691139e-08
1.189356064796447815e-02,3.162277436505582795e+00,1.189355984616724104e-03,1.657440239684565851e-07
1.585808086395263522e-02,3.162277156927124633e+00,1.784033871863595399e-03,2.353304058598620193e-07
1.982260107994079576e-02,3.162276765517352484e+00,2.378711636891726357e-03,2.640219773859247041e-07
2.378712129592895630e-02,3.162276262276333849e+00,2.973389228836879460e-03,3.563559906952206697e-07
2.775164151191711337e-02,3.162275647204157991e+00,3.568066609017066324e-03,4.597254293544803668e-07
3.171616172790527044e-02,3.162274920300938597e+00,4.162743742430020238e-03,4.961351697083227189e-07
3.568068194389343445e-02,3.162274081566799122e+00,4.757420579990231241e-03,5.526559114026161115e-07
3.964520215988159152e-02,3.162273131001885673e+00,5.352097076208822343e-03,6.680374400939500056e-07
4.360972237586974859e-02,3.162272068606372333e+00,5.946773197822143031e-03,7.327568279636194978e-07
4.757424259185791260e-02,3.162270894380446506e+00,6.541448901653932127e-03,7.643681874455697664e-07
5.153876280784606967e-02,3.162269608324309367e+00,7.136124137424384138e-03,8.641888964265675691e-07
5.550328302383422674e-02,3.162268210438191840e+00,7.730798868436656451e-03,9.613969608326566838e-07
5.946780323982239075e-02,3.162266700722348833e+00,8.325473058080099659e-03,9.927381231348975687e-07
6.343232345581054088e-02,3.162265079177036142e+00,8.920146656116916331e-03,1.059620350888209238e-06
6.739684367179871183e-02,3.162263345802538872e+00,9.514819619264050510e-03,1.174640770916521865e-06
7.136136388778686890e-02,3.162261500599176767e+00,1.010949191427278591e-02,1.229374909955503321e-06
7.532588410377502597e-02,3.162259543567270903e+00,1.070416349575585221e-02,1.266586349389172893e-06
7.929040431976318304e-02,3.162257474707155236e+00,1.129883431456355294e-02,1.373722188911077205e-06
8.325492453575134011e-02,3.162255294019209462e+00,1.189350433562912958e-02,1.461748464766557574e-06
8.721944475173949718e-02,3.162253001503823047e+00,1.248817352037275182e-02,1.490244580382676012e-06
9.118396496772765425e-02,3.162250597161386345e+00,1.308284181794730321e-02,1.568182659048090469e-06
9.514848518371582520e-02,3.162248080992325683e+00,1.367750918735726427e-02,1.680218969539322725e-06
9.911300539970398227e-02,3.162245452997103357e+00,1.427217559478515842e-02,1.725502381956510150e-06
1.030775256156921393e-01,3.162242713176172781e+00,1.486684099285400830e-02,1.770636646336764618e-06
1.070420458316802964e-01,3.162239861530005136e+00,1.546150533401506946e-02,1.883111726834583250e-06
1.110065660476684535e-01,3.162236898059124890e+00,1.605616858436853880e-02,1.960597803640455261e-06
1.149710862636566105e-01,3.162233822764058733e+00,1.665083070313534350e-02,1.989028415971270854e-06
1.189356064796447815e-01,3.162230635645327137e+00,1.724549163944247981e-02,2.077729377928887433e-06
1.229001266956329386e-01,3.162227336703503866e+00,1.784015135451207448e-02,2.184205858223942864e-06
1.268646469116210818e-01,3.162223925939190217e+00,1.843480981341200781e-02,2.221593113080582843e-06
1.308291671276092527e-01,3.162220403352970610e+00,1.902946696712900024e-02,2.276440934608305573e-06
