wavelength_um,target_amp,holographic_amp,periodic_amp,phase_rad
1.062999999999999945e+00,4.629519314016218508e-05,1.133628024759720420e-04,5.285678958383962719e-03,-2.114745542160263003e+00
1.063002002002001900e+00,4.654136075607171743e-05,1.176332498390793329e-04,5.480708031205285685e-03,-2.150376213379382673e+00
1.063004004004003855e+00,4.662852125481104447e-05,1.216948052395856809e-04,5.674752315202930518e-03,-2.186921270875413548e+00
1.063006006006006032e+00,4.655635249857682919e-05,1.255370031777145758e-04,5.867746731011417270e-03,-2.224248861323540272e+00
1.063008008008007987e+00,4.632499607136038132e-05,1.291501023312855031e-04,6.059626267554778060e-03,-2.262247306534268088e+00
1.063010010010009943e+00,4.593505690257855545e-05,1.325250521398897458e-04,6.250326000947766664e-03,-2.300820987019486896e+00
1.063012012012011898e+00,4.538760155914125632e-05,1.356534717341186024e-04,6.439781113464457772e-03,-2.339887132987236829e+00
1.063014014014013853e+00,4.468415517320163427e-05,1.385276378715866023e-04,6.627926915076171217e-03,-2.379373293598711303e+00
1.063016016016016030e+00,4.382669706189804747e-05,1.411404793553070424e-04,6.814698862482317446e-03,-2.419215315742588857e+00
1.063018018018017985e+00,4.281765498473796920e-05,1.434855761762428381e-04,7.000032577448326784e-03,-2.459355709370406817e+00
1.063020020020019940e+00,4.165989814922893504e-05,1.455571621681042921e-04,7.183863868642854228e-03,-2.499742307953593201e+00
1.063022022022021895e+00,4.035672886243038261e-05,1.473501300712240860e-04,7.366128750921906686e-03,-2.540327153032395646e+00
1.063024024024024072e+00,3.891187299530035837e-05,1.488600383510622698e-04,7.546763463303128236e-03,-2.581065549279887517e+00
1.063026026026026027e+00,3.732946914345454772e-05,1.500831192519760980e-04,7.725704490994803747e-03,-2.621915249556433736e+00
1.063028028028027983e+00,3.561405662714237563e-05,1.510162876676189928e-04,7.902888584041154255e-03,-2.662835734666010534e+00
1.063030030030029938e+00,3.377056231796750249e-05,1.516571505256491842e-04,8.078252777070468044e-03,-2.703787561752584168e+00
1.063032032032031893e+00,3.180428632469180960e-05,1.520040165849133101e-04,8.251734409712505394e-03,-2.744731757807556960e+00
1.063034034034034070e+00,2.972088659012402952e-05,1.520559064503203555e-04,8.423271146055190048e-03,-2.785629238054607271e+00
1.063036036036036025e+00,2.752636246505024017e-05,1.518125628447044944e-04,8.592800993293727915e-03,-2.826440230580861357e+00
1.063038038038037980e+00,2.522703725523662646e-05,1.512744611587796360e-04,8.760262322465730764e-03,-2.867123689993185121e+00
1.063040040040039935e+00,2.282953984721729438e-05,1.504428204087511413e-04,8.925593888455018651e-03,-2.907636681610642260e+00
1.063042042042041890e+00,2.034078543592931365e-05,1.493196148074273782e-04,9.088734848525355237e-03,-2.947933716687099359e+00
1.063044044044044067e+00,1.776795541644718768e-05,1.479075862511598327e-04,9.249624782062445746e-03,-2.987966017963940235e+00
1.063046046046046023e+00,1.511847648366549314e-05,1.462102581538345428e-04,9.408203710837594047e-03,-3.027680691030116833e+00
1.063048048048047978e+00,1.239999906291268653e-05,1.442319511890398408e-04,9.564412116837677988e-03,-3.067019771357672564e+00
1.063050050050049933e+00,9.620375003880829028e-06,1.419778016634954602e-04,9.718190963734352553e-03,-3.105919113490888783e+00
1.063052052052051888e+00,6.787634790638811309e-06,1.394537835701254455e-04,9.869481714028465955e-03,-3.144307076589098582e+00
1.063054054054054065e+00,3.909964122438438571e-06,1.366667355131327352e-04,1.001822634976465634e-02,-3.182102953659676547e+00
1.063056056056056020e+00,9.956801162352906418e-07,1.336243942643196715e-04,1.016436739105589827e-02,-3.219215073979110109e+00
1.063058058058057975e+00,1.946792888859033047e-06,1.303354371722311735e-04,1.030784791454727491e-02,-3.255538490892230019e+00
1.063060060060059930e+00,4.908947872871252727e-06,1.268095362916622543e-04,1.044861157342679044e-02,-3.290952141755085325e+00
1.063062062062062108e+00,7.882219911724977634e-06,1.230574282501955977e-04,1.058660261602016942e-02,-3.325315332596570528e+00
1.063064064064064063e+00,1.085801107183879733e-05,1.190910051108104992e-04,1.072176590296458100e-02,-3.358463356673507594e+00
1.063066066066066018e+00,1.382771547724956968e-05,1.149234332169187428e-04,1.085404692754987806e-02,-3.390202000111261604e+00
1.063068068068067973e+00,1.678274439298648712e-05,1.105693097802099657e-04,1.098339183461241250e-02,-3.420300610953845855e+00
1.063070070070069928e+00,1.971455116475560122e-05,1.060448705513049425e-04,1.110974743646126611e-02,-3.448483313341311973e+00
1.063072072072072105e+00,2.261465620887563645e-05,1.013682664995664833e-04,1.123306123367720684e-02,-3.474417833734689598e+00
1.063074074074074060e+00,2.547467162307132980e-05,9.655993500176686937e-05,1.135328143146165092e-02,-3.497701264992584935e+00
1.063076076076076015e+00,2.828632567818308775e-05,9.164310019181348081e-05,1.147035695822305398e-02,-3.517841959712061151e+00
1.063078078078077970e+00,3.104148691660006058e-05,8.664445059890704269e-05,1.158423748380878540e-02,-3.534236650971212867e+00
1.063080080080079926e+00,3.373218781274003891e-05,8.159505969350368748e-05,1.169487343614208745e-02,-3.546141974717336165e+00
1.063082082082082103e+00,3.635064803021332153e-05,7.653163620913541222e-05,1.180221601972760749e-02,-3.552640079814073815e+00
1.063084084084084058e+00,3.888929708588573133e-05,7.149821388539675149e-05,1.190621723253094608e-02,-3.552599527939614532e+00
1.063086086086086013e+00,4.134079640525298440e-05,6.654840255854314109e-05,1.200682988267390457e-02,-3.544636347438782309e+00
1.063088088088087968e+00,4.369806074997813493e-05,6.174829603396061583e-05,1.210400760692495123e-02,-3.527088011927653977e+00
1.063090090090090145e+00,4.595427883499013226e-05,5.717999931646458931e-05,1.219770488540773863e-02,-3.498028565360795206e+00
1.063092092092092100e+00,4.810293322373918593e-05,5.294536148752600430e-05,1.228787706019253065e-02,-3.455379483493527637e+00
1.063094094094094055e+00,5.013781933250851440e-05,4.916866799347540838e-05,1.237448035001738680e-02,-3.397205442424403365e+00
1.063096096096096010e+00,5.205306353745075697e-05,4.599558907146921176e-05,1.245747186882639052e-02,-3.322300457107065341e+00
1.063098098098097966e+00,5.384314027403162709e-05,4.358402020491369849e-05,1.253680963876005298e-02,-3.231090727493227455e+00
1.063100100100100143e+00,5.550288823137719427e-05,4.208259735289298173e-05,1.261245260910899557e-02,-3.126598861337183788e+00
1.063102102102102098e+00,5.702752536278405288e-05,4.159814730030086689e-05,1.268436066974554591e-02,-3.014794150135075235e+00
