domain_index,structure_z_um,structure_width_um
0,0.000000000000000000e+00,2.204265767519040764e+03
1,2.204265767519040764e+03,1.982253388056506083e+00
2,2.206248020907097271e+03,3.964506776113466913e+00
3,2.210212527683210737e+03,5.728712291483957415e+02
4,2.783083756831606479e+03,3.568056098502120221e+02
5,3.139889366681818501e+03,1.982253388056506083e+00
6,3.141871620069875007e+03,3.964506776113466913e+00
7,3.145836126845988474e+03,2.557106870593183885e+02
8,3.401546813905306863e+03,2.140833659101272133e+02
9,3.615630179815434076e+03,1.982253388056506083e+00
10,3.617612433203490582e+03,3.964506776113466913e+00
11,3.621576939979604049e+03,1.684915379848221164e+02
12,3.790068477964426165e+03,1.506512574923117427e+02
13,3.940719735456737908e+03,1.982253388056506083e+00
14,3.942701988844794414e+03,3.964506776113466913e+00
15,3.946666495620907881e+03,1.288464702236874473e+02
16,4.075512965844595328e+03,1.189352032834035526e+02
17,4.194448169127998881e+03,1.982253388056960830e+00
18,4.196430422516055842e+03,3.964506776113012165e+00
19,4.200394929292168854e+03,9.713041601476925280e+01
20,4.297525345306938107e+03,1.030771761789501397e+02
21,4.400602521485888246e+03,1.982253388056960830e+00
22,4.402584774873945207e+03,3.964506776113012165e+00
23,4.406549281650058219e+03,8.127238891031720414e+01
24,4.487821670560375424e+03,8.721914907449627208e+01
25,4.575040819634871696e+03,1.982253388056960830e+00
26,4.577023073022928656e+03,3.964506776113012165e+00
27,4.580987579799041669e+03,7.334337535809117981e+01
28,4.654330955157132848e+03,7.136112197004240443e+01
29,4.725692077127175253e+03,1.982253388056960830e+00
30,4.727674330515232214e+03,3.964506776113012165e+00
31,4.731638837291345226e+03,6.541436180586515547e+01
32,4.797053199097210381e+03,7.136112197004240443e+01
33,4.868414321067252786e+03,1.982253388056960830e+00
34,4.870396574455309747e+03,3.964506776113012165e+00
35,4.874361081231422759e+03,4.955633470141310681e+01
36,4.923917415932835866e+03,6.343210841781547060e+01
37,4.987349524350651336e+03,1.982253388056960830e+00
38,4.989331777738708297e+03,3.964506776113012165e+00
39,4.993296284514821309e+03,4.955633470141310681e+01
40,5.042852619216234416e+03,5.550309486558853678e+01
41,5.098355714081822953e+03,1.982253388056960830e+00
42,5.100337967469879914e+03,3.964506776113012165e+00
43,5.104302474245992926e+03,4.955633470141310681e+01
44,5.153858808947406033e+03,4.757408131336160295e+01
45,5.201432890260767635e+03,1.982253388056960830e+00
46,5.203415143648824596e+03,3.964506776113012165e+00
47,5.207379650424937608e+03,4.162732114918708248e+01
48,5.249006971574124691e+03,4.757408131336160295e+01
49,5.296581052887486294e+03,1.982253388056960830e+00
50,5.298563306275543255e+03,3.964506776113012165e+00
51,5.302527813051656267e+03,4.162732114918708248e+01
52,5.344155134200843349e+03,4.757408131336160295e+01
53,5.391729215514204952e+03,1.982253388056960830e+00
54,5.393711468902261913e+03,3.964506776113012165e+00
55,5.397675975678374925e+03,3.369830759696105815e+01
56,5.431374283275335983e+03,3.964506776113466913e+01
57,5.471019351036470653e+03,1.982253388056960830e+00
58,5.473001604424527613e+03,3.964506776113012165e+00
59,5.476966111200640626e+03,3.369830759696105815e+01
60,5.510664418797601684e+03,3.964506776113466913e+01
61,5.550309486558736353e+03,1.982253388056960830e+00
62,5.552291739946793314e+03,3.964506776113012165e+00
63,5.556256246722906326e+03,3.369830759696105815e+01
64,5.589954554319867384e+03,3.964506776113466913e+01
65,5.629599622081002053e+03,1.982253388056960830e+00
66,5.631581875469059014e+03,3.964506776113012165e+00
67,5.635546382245172026e+03,2.576929404473503382e+01
68,5.661315676289907060e+03,3.964506776113466913e+01
69,5.700960744051041729e+03,1.982253388056960830e+00
70,5.702942997439098690e+03,3.964506776113012165e+00
71,5.706907504215211702e+03,2.576929404473503382e+01
72,5.732676798259946736e+03,3.171605420890773530e+01
73,5.764392852468854471e+03,1.982253388056960830e+00
74,5.766375105856911432e+03,3.964506776113012165e+00
75,5.770339612633024444e+03,2.576929404473503382e+01
76,5.796108906677759478e+03,3.171605420890773530e+01
77,5.827824960886667213e+03,1.982253388056960830e+00
78,5.829807214274724174e+03,3.964506776113012165e+00
79,5.833771721050837186e+03,2.576929404473503382e+01
80,5.859541015095572220e+03,3.171605420890773530e+01
81,5.891257069304479955e+03,1.982253388056960830e+00
82,5.893239322692536916e+03,3.964506776113012165e+00
83,5.897203829468649928e+03,2.576929404473503382e+01
84,5.922973123513384962e+03,3.171605420890773530e+01
85,5.954689177722292698e+03,1.982253388056960830e+00
86,5.956671431110349658e+03,3.964506776113012165e+00
87,5.960635937886462671e+03,1.784028049250900949e+01
88,5.978476218378971680e+03,3.171605420890773530e+01
89,6.010192272587879415e+03,1.982253388056960830e+00
90,6.012174525975936376e+03,3.964506776113012165e+00
91,6.016139032752049388e+03,1.784028049250900949e+01
92,6.033979313244558398e+03,3.171605420890773530e+01
93,6.065695367453466133e+03,1.982253388056960830e+00
94,6.067677620841523094e+03,3.964506776113012165e+00
95,6.071642127617636106e+03,1.784028049250900949e+01
96,6.089482408110145116e+03,2.378704065668080148e+01
97,6.113269448766825917e+03,1.982253388056960830e+00
98,6.115251702154882878e+03,3.964506776113012165e+00
99,6.119216208930995890e+03,2.576929404473503382e+01
100,6.144985502975730924e+03,2.378704065668080148e+01
101,6.168772543632411725e+03,1.982253388056960830e+00
102,6.170754797020468686e+03,3.964506776113012165e+00
103,6.174719303796581698e+03,1.784028049250900949e+01
104,6.192559584289090708e+03,2.378704065668080148e+01
105,6.216346624945771509e+03,1.982253388056960830e+00
106,6.218328878333828470e+03,3.964506776113012165e+00
107,6.222293385109941482e+03,1.784028049250900949e+01
108,6.240133665602450492e+03,2.378704065668080148e+01
109,6.263920706259131293e+03,1.982253388056960830e+00
110,6.265902959647188254e+03,3.964506776113012165e+00
111,6.269867466423301266e+03,1.784028049250900949e+01
112,6.287707746915810276e+03,2.378704065668080148e+01
113,6.311494787572491077e+03,1.982253388056960830e+00
